"Participants in the music group were given a choice from 8 music CDs with various types of music (e.g., classical, harp, general instrumental, nature sounds, country, gospel, and jazz).","Participants music choice 8 music CDs types music (e.g., classical, harp, instrumental, nature sounds, country, gospel, jazz).",C0679646|C0026867|C0008300|G0000000|C0026867|C0079141|C0332307|C0026867|G0000000|C0439858|G0000000|G0000000|C0349590|C0037709|C0454664|C2239886|G0000000
The control Group received only IV fluids and antipyretics whenever it was indicated.,The control Group received IV fluids antipyretics indicated.,G0000000|C0243148|C0441833|C1514756|C0022326|C0302908|C0003419|C1444656
Patients randomized to receive amifostine were given a dose of 740 mg/m2 intravenously over 15 minutes prior to each administration of a platinum agent.,Patients randomized receive amifostine dose 740 mg/m2 intravenously 15 minutes prior administration platinum agent.,C0030705|C0034656|C1514756|C0015020|C0178602|C1442061|C0026410|G0000000|C0450371|C0439232|C0332152|C0001554|C0032207|C0450442
"Of the 77,445 participants randomly assigned to screening (intervention group), 83.5% underwent baseline flexible sigmoidoscopy and 54.0% were screened at 3 or 5 years.","Of 77,445 participants randomly assigned screening (intervention group), 83.5% underwent baseline flexible sigmoidoscopy 54.0% screened 3 5 years.",G0000000|C0450371|C0679646|G0000000|C1516050|C0220908|C0886296|C0441833|C0450371|G0000000|C0168634|C0443220|C0037075|C0450371|C0220908|G0000000|G0000000|C0439234
Cases were assigned randomly to apply treatment and placebo ointments to right or left side lesions (similar location and size).,Cases assigned randomly apply treatment placebo ointments left lesions (similar location size).,C0868928|C1516050|G0000000|C1632850|C0039798|C0032042|C0028912|C0205091|C0221198|C2348205|C0450429|C0456389
"The second intervention (“Introduction of Solids”) taught parents about hunger and satiety cues, the timing for the introduction of solid foods, and how to overcome infants’ initial rejection of healthy foods through repeated exposure.","The intervention (“Introduction Solids”) taught parents hunger satiety cues, timing introduction solid foods, overcome infants’ initial rejection healthy foods repeated exposure.",G0000000|C0886296|G0000000|G0000000|C0348054|C0030551|C0020175|C0036239|C0010439|C0449243|C1293116|C0205208|C0016452|C2983310|G0000000|C0205265|C0035015|C3898900|C0016452|C0205341|C0274281
"The study had two arms: the early exercise group (EEG; n=32) completed the exercise program from baseline to 4 weeks, whereas the delayed exercise group (DEG; n=30) completed the exercise program from 4 to 8 weeks.","The study arms: exercise (EEG; n=32) completed exercise program baseline 4 weeks, delayed exercise (DEG; n=30) completed exercise program 4 8 weeks.",G0000000|C0557651|C0206655|C0015259|C0013819|C0369718|C0205197|C0015259|C1709697|C0168634|G0000000|C0439230|C0205421|C0015259|C2348088|C0369718|C0205197|C0015259|C1709697|G0000000|G0000000|C0439230
They were randomised to drop treatment with chlorhexidine gluconate 0.2% or the standard local treatment natamycin 2.5%.,They randomised drop treatment chlorhexidine gluconate 0.2% standard local treatment natamycin 2.5%.,G0000000|G0000000|C1321095|C0039798|C0008196|C0017714|G0000000|C1442989|C0205276|C0039798|C0027444|G0000000
"Specific aims of this National Cancer Institute-sponsored, 3-armed, randomized controlled trial (RCT) were to explore the feasibility of a mother-daughter weight loss intervention and evaluate whether an individual approach in which mothers and daughters work in parallel to achieve diet and exercise goals or a team-based approach in which mother-daughter dyads work as a team to achieve these goals yielded greater reductions in body mass index (BMI) from baseline to 12-month follow-up.","Specific aims National Cancer Institute-sponsored, 3-armed, randomized controlled trial (RCT) explore feasibility mother-daughter weight loss intervention evaluate individual approach mothers daughters parallel achieve diet exercise goals team-based approach mother-daughter dyads team achieve goals yielded reductions body mass (BMI) baseline 12-month follow-up.",C0205369|C1947946|C3245503|C0006826|C0021622|C0446516|C0034656|C2587213|C0008976|G0000000|G0000000|G0000000|C0026591|C0005910|C1517945|C0886296|C0220825|C0027361|C0449445|C0026591|C0011011|C2348042|G0000000|C0012155|C0015259|C0018017|C0871489|C0449445|C0026591|C0870454|C0871489|G0000000|C0018017|G0000000|C0301630|C0242821|C0577559|G0000000|C0168634|C0450371|C0589120
"Patients with PAH (idiopathic [IPAH] or associated with connective tissue disease [APAH-CTD]) taking bosentan (62.5 or 125 mg twice daily at a stable dose for ≥3 months) were randomized (1:1) to sildenafil (20 mg, 3 times daily; n = 50) or placebo (n = 53).","Patients PAH (idiopathic [IPAH] connective tissue disease [APAH-CTD]) bosentan (62.5 125 daily stable dose ≥3 months) randomized (1:1) sildenafil (20 mg, 3 times daily; = 50) placebo (n = 53).",C0030705|C3203102|C0332240|C0152171|G0000000|C0040300|C0012634|C0245778|C0252643|C0450371|C1442061|C0332173|C0205360|C0178602|G0000000|C0439231|C0034656|G0000000|C0529793|C0450371|C0026410|G0000000|C0040223|C0332173|G0000000|C0450371|C0032042|C0369718|G0000000|C0450371
