"After October 2004, an aromatase inhibitor was allowed.","After October 2004, aromatase inhibitor allowed.",G0000000|C3828732|G0000000|C0003805|C1999216|C0683607
"The size of burns is quite large, over 40% of the total body surface.","The size burns large, 40% total body surface.",G0000000|C0456389|C0006434|C0549177|C0450371|C0439175|C0242821|C0205148
"Adjusted hazard ratios of explanatory variables associated with death, as shown in multivariate Cox regression models (censored at 30 days) In all models, neuraminidase inhibitors (NAI) treatment propensity score was included as a covariate (see methods), and had a p-value <0.05.","Adjusted hazard ratios explanatory variables death, multivariate Cox regression models (censored 30 days) In models, neuraminidase inhibitors (NAI) treatment propensity score included covariate (see methods), p-value <0.05.",C0456081|C0598697|C0456603|C0681841|C0439828|C0011065|G0000000|G0000000|C0684320|C3161035|C3889990|C0450371|C0439228|G0000000|C3161035|C0027803|C0243077|C3537218|C0039798|G0000000|C0449820|C0332257|G0000000|C0042789|C0025663|C1709380|C0450371
"The residents were from a mixed group of specialties including gastroenterology, general surgery and internal medicine.","The residents mixed specialties including gastroenterology, surgery internal medicine.",G0000000|C1320928|C0205430|C0037778|C0332257|C0017163|C0038894|C0205102|C0013227
"Given that the standard error for CO is much smaller than that for 6MWD, and that the 6MWD can be affected by comorbid conditions, these results are not surprising.","Given standard error CO 6MWD, 6MWD comorbid conditions, surprising.",C1442162|C1442989|C0743559|C3245499|G0000000|G0000000|C0009488|C0012634|G0000000
"An event-triggered interim analysis occurred after 272 events on the reference arm, and the study closed with 4,312 women enrolled.","An event-triggered interim analysis occurred 272 events reference arm, study closed 4,312 women enrolled.",G0000000|C0441471|C2827738|C0002778|C1709305|C1442061|C0441471|C1514811|C0446516|C0557651|C0587267|C1442061|C0043210|G0000000
"When azacitidine was delayed, treatment with romiplostim or placebo was continued.","When azacitidine delayed, treatment romiplostim placebo continued.",G0000000|C0004475|C0205421|C0039798|C2364481|C0032042|C0549178
"The aim of the study was to compare the Swim cast to the traditional cast in terms of patient comfort, bone healing, and skin lesions.","The aim study compare Swim cast traditional cast terms patient comfort, bone healing, skin lesions.",G0000000|C1947946|C0557651|C1707455|C0039003|C0179686|C0443324|C0179686|C0233324|C0030705|C1331418|C0262950|C0043240|C0444099|C0221198
"Maternal knowledge and beliefs about complementary and responsive feeding at infant ages 6, 9, 12, and 15 months were assessed through pre‐tested questionnaires.","Maternal knowledge beliefs complementary responsive feeding infant ages 6, 9, 12, 15 months assessed pre‐tested questionnaires.",C2347083|C0376554|C0004951|G0000000|C0205342|C0204695|C0021270|C0001779|G0000000|G0000000|C0450371|C0450371|C0439231|C1516048|G0000000|C0034394
"We also believed that such a long waiting list period would have a significant, negative effect on recruitment into the study.","We believed waiting list period significant, negative recruitment study.",G0000000|G0000000|C1610166|C0745732|C0439531|C0237881|C0205160|C2949735|C0557651
To evaluate the use of a computerised support system for decision making for implementing evidence based clinical guidelines for the management of asthma and angina in adults in primary care.,To evaluate computerised support system decision implementing evidence based clinical guidelines management asthma angina adults primary care.,C0040363|C0220825|G0000000|C0183683|C0449913|C0679006|G0000000|C3887511|C1527178|C0205210|C0162791|C0001554|C0004096|C0002962|C0001675|C0205225|C1947933
Postoperative complications were observed in 7 (35%) of the 20 patients.,Postoperative complications observed 7 (35%) 20 patients.,C0032790|C0009566|C1441672|G0000000|C0450371|C0450371|C0030705
"If urinary pH<6, measurements of U-β2MCR were unreliable and excluded from the analysis.","If urinary pH<6, measurements U-β2MCR unreliable excluded analysis.",G0000000|C0042027|C0450407|C0242485|G0000000|C0749770|C1554077|C0002778
"Inflammatory responses indicate that patients with SCD have higher levels of cytokines, which affect the synthesis of ferritin and its release into the circulation (Walter et al, 2006).","Inflammatory responses patients SCD levels cytokines, affect synthesis ferritin release circulation (Walter al, 2006).",C0333348|C0871261|C0030705|G0000000|C0441889|C0079189|C0001721|C0220781|C0015879|C0030685|C0005775|G0000000|C0202311|G0000000
We compared the dietary intervention group with a group who received five-a-day dietary guidelines.,We compared dietary intervention received five-a-day dietary guidelines.,G0000000|C1707455|C0012155|C0886296|C1514756|C0205451|C0012155|C0162791
28 Long-term care residents are at high risk for experiencing adverse drug events.,28 Long-term care residents risk experiencing adverse drug events.,C0450371|C0443252|C1947933|C1320928|C0035647|C0237607|G0000000|C0013227|C0441471
These results were similar to the present study where in the same materials were used as pulpotomy agents.,These study materials pulpotomy agents.,G0000000|C0557651|C0520510|C0034104|C0450442
