Primary outcome measures included enteral intake at 2 weeks and days to reach 120 ml kg−1 per day of enteral feedings.,Primary outcome measures included enteral intake 2 weeks days reach 120 kg−1 day enteral feedings.,C0205225|C1274040|C0079809|C0332257|C1304890|C1512806|G0000000|C0439230|C0439228|C2584321|C1442061|G0000000|C0332173|C1304890|C0204695
"There was no statistically significant difference in progression-free survival (time from randomisation until first evidence of progression after chemotherapy, 10.2 vs 10.8 months; hazard ratio, 1.08; 95% CI 0.71–1.64; P=0.73).","There statistically difference progression-free survival (time randomisation evidence progression chemotherapy, 10.2 10.8 months; hazard ratio, 1.08; 95% CI 0.71–1.64; P=0.73).",G0000000|C0038215|C1705241|C0242656|C0038952|C0040223|C0034656|C3887511|C0242656|C0013216|C0450371|C0450371|C0439231|C0598697|C0456603|C0450371|C0450371|C0008107|G0000000|C0369773
"The impact of our intervention on female condom knowledge, attitudes, and self-efficacy was assessed using psychosocial scales.","The impact intervention female condom knowledge, attitudes, self-efficacy assessed psychosocial scales.",G0000000|C1825598|C0886296|C0015780|C0009653|C0376554|C0004271|C0600564|C1516048|C0542298|C0175659
RESULTS—There were no significant differences between the two groups in the numbers of electroretinograms performed at 36 weeks of postmenstrual age.,RESULTS—There differences electroretinograms performed 36 weeks postmenstrual age.,G0000000|C1705241|C0013867|C0884358|C0450371|C0439230|G0000000|C0001779
"(6) Penetration of SDM in MDTMs as measured by an adapted version of the Metric for the Observation of Decision Making in Multidisciplinary Team Meetings (MDT-MODe, [69]).","(6) Penetration SDM MDTMs measured adapted version Metric Observation Decision Making Multidisciplinary Team Meetings (MDT-MODe, [69]).",G0000000|C0205321|C0643808|G0000000|C0444706|C2937289|C0333052|C0699680|C0302523|C0679006|C1881534|C0242479|C0871489|C0556656|C3896649|C0450371
"However, GEM monotherapy significantly improved OS compared with S-1 treatment.","However, GEM monotherapy improved OS compared S-1 treatment.",G0000000|G0000000|G0000000|C0184511|C0229090|C1707455|G0000000|C0039798
The main outcome variable was presence of an abdominal wound dehiscence or burst.,The main outcome variable presence abdominal wound dehiscence burst.,G0000000|C0205225|C1274040|C0439828|C0150312|C0000726|C0043250|C0149663|C0439818
Week 5 median (CV%) plasma SN-38 Cmax values were lower in Arm A than Arm B (22.4 ng ml−1 (61.5%) vs 31.6 ng ml−1 (62.3%)).,Week 5 median (CV%) plasma SN-38 Cmax values lower Arm A Arm B (22.4 ng ml−1 (61.5%) 31.6 ng ml−1 (62.3%)).,C0332174|G0000000|C0549183|C3538987|C0032105|C0037173|C2347813|C0042295|C0441994|C0446516|G0000000|C0446516|G0000000|G0000000|C0450371|G0000000|C0450371
"SF-36 subscales that demonstrated significant improvements included physical functioning (Ptrend<0.001), role-physical (Ptrend=0.035), general health (Ptrend=0.011), and vitality (Ptrend=0.025; Supplementary Table 1).","SF-36 subscales demonstrated improvements included physical functioning (Ptrend<0.001), role-physical (Ptrend=0.035), health (Ptrend=0.011), vitality (Ptrend=0.025; Supplementary Table 1).",C0037712|G0000000|G0000000|C2986411|C0332257|C0031809|C0205245|C1442061|C0035820|C1442061|C0018684|C1442061|C0424589|C1442061|G0000000|C0039224|G0000000
The primary endpoint is the rate of PDS response at 3 days after surgery.,The primary endpoint rate PDS response 3 days surgery.,G0000000|C0205225|C2349179|C0871208|G0000000|C0871261|G0000000|C0439228|C0038894
"The primary outcome is adoption of SDM, measured by the 9-item Shared Decision Making Questionnaire.","The primary outcome adoption SDM, measured 9-item Shared Decision Making Questionnaire.",G0000000|C0205225|C1274040|C0001593|C0643808|C0444706|C1551338|C0237876|C0679006|C1881534|C0034394
"In conclusion, one year 5FU plus levamisole was of benefit in stage II and III colonic cancer; in rectal cancer a significant positive effect could not be demonstrated.","In conclusion, 5FU levamisole benefit stage II III colonic cancer; rectal cancer positive demonstrated.",G0000000|C1707478|G0000000|C0023556|C0814225|C0205390|G0000000|C0439070|C0009368|C0006826|C0205052|C0006826|C0439178|G0000000
"Secondary endpoints included hemoglobin (Hb) on admission, Hb difference from randomization to admission, ICU admission, perioperative morbidity (defined as new onset infection, respiratory failure, renal impairment, deep venous thrombosis), discharge Hb, length of stay, Hb at follow-up, Hb difference from discharge to follow-up, iron status, 30-day mortality, and quality of life (QoL).","Secondary endpoints included hemoglobin (Hb) admission, Hb difference randomization admission, ICU admission, perioperative morbidity (defined onset infection, respiratory failure, renal impairment, deep venous thrombosis), discharge Hb, length stay, Hb follow-up, Hb difference discharge follow-up, iron status, 30-day mortality, quality life (QoL).",C0027627|C2349179|C0332257|C0019046|C0019046|C0184666|C0019046|C1705241|C0034656|C0184666|C0021708|C0184666|C1518988|C0026538|C1704788|C0206132|C0009450|C0521346|C0231174|C0022646|C0221099|C0205125|C0042449|C0040053|C0012621|C0019046|C1444754|G0000000|C0019046|C0589120|C0019046|C1705241|C0012621|C0589120|C0302583|C0449438|C0450371|C0026565|C0332306|C0376558|C0518214
The original primary endpoint was PFS per Response Evaluation Criteria in Solid Tumors version 1.1 (RECIST v1.1) via IRF in the ITT population.,The original primary endpoint PFS Response Evaluation Criteria Solid Tumors version 1.1 (RECIST v1.1) IRF ITT population.,G0000000|C0205313|C0205225|C2349179|C0242792|C0871261|C0220825|C0243161|C0205208|C0027651|C0333052|G0000000|C1709926|C0078433|C1446165|G0000000|C0032659
"Efficacy endpoints were incidence and severity of radiation-induced diarrhea, number of patients who discontinued radiotherapy because of diarrhea, daily number of bowel movements, and the time from the start of the study to the use of loperamide as rescue medication for diarrhea.","Efficacy endpoints incidence severity radiation-induced diarrhea, patients discontinued radiotherapy diarrhea, daily bowel movements, time start study loperamide rescue medication diarrhea.",C1280519|C2349179|C0021149|C0439793|C0034519|C0011991|C0030705|C1444662|C0034619|C0011991|C0332173|C0021853|C0026649|C0040223|C0439659|C0557651|C0023992|G0000000|C0013227|C0011991
