We have carried out a randomised controlled trial of this intervention delivered when women attended for final routine mammogram at age 67–70 years on the UK National Health Service Breast Screening Programme.,We carried randomised controlled trial intervention delivered women attended final routine mammogram age 67–70 UK National Health Service Breast Screening Programme.,G0000000|C0206243|G0000000|C2587213|C0008976|C0886296|C1705822|C0043210|C1456498|C0205088|C0205547|C0024671|C0001779|G0000000|C0041700|C3245503|C0018684|C0557854|C0006141|C0220908|C1709697
Patients with recurrent or metastatic squamous cell carcinoma of the esophagus who had not previously been treated palliative chemotherapy for metastatic disease were eligible.,Patients recurrent metastatic squamous cell carcinoma esophagus treated palliative chemotherapy metastatic disease eligible.,C0030705|C2945760|C0036525|C1182670|C0007634|C0007097|C0014876|C1522326|C0587605|C0013216|C0036525|C0012634|C1548635
"Of the 77 patients recruited to the study, 71 were evaluable for response.","Of 77 patients recruited study, 71 evaluable response.",G0000000|C0450371|C0030705|G0000000|C0557651|C0450371|C1516986|C0871261
"Women who were pregnant or breastfeeding, had a confirmed or suspected immunosuppressive or immunodeficient condition, an allergic disease likely to be exacerbated by any component of the vaccine, or previously received HPV vaccination or 3-O-desacyl-4’-monophosphoryl lipid A were excluded.","Women pregnant breastfeeding, confirmed suspected immunosuppressive immunodeficient condition, allergic disease exacerbated component vaccine, received HPV vaccination 3-O-desacyl-4’-monophosphoryl lipid A excluded.",C0043210|C0549206|C0006147|C0521093|C0332147|C0021081|C0021051|C0012634|C0700624|C0012634|C0436331|C0449432|C0042210|C1514756|C0021344|C0042196|G0000000|C0023779|G0000000|C1554077
Exclusion criteria were; past history of pelvic radiotherapy or abdominal surgery and diarrhea before the beginning of this study.,Exclusion criteria were; history pelvic radiotherapy abdominal surgery diarrhea study.,C0680251|C0243161|G0000000|C0019664|C0030797|C0034619|C0000726|C0038894|C0011991|C0557651
571 healthy children aged 1-6 years: 282 (mean (SD) age 4.6 (1.5) years) in the intervention group and 289 (mean (SD) age 4.4 (1.5) years) in the control group.,571 healthy children aged 1-6 years: 282 (mean (SD) age 4.6 (1.5) years) intervention 289 (mean (SD) age 4.4 (1.5) years) control group.,C1442061|C3898900|C0008059|C0001779|G0000000|C0439234|C1442061|C0444504|G0000000|C0001779|G0000000|G0000000|C0439234|C0886296|C1442061|C0444504|G0000000|C0001779|G0000000|G0000000|C0439234|C0243148|C0441833
"Exclusion criteria were good levator function, absent Bell’s phenomenon, and abnormal ocular motility.","Exclusion criteria levator function, absent Bell’s phenomenon, abnormal ocular motility.",C0680251|C0243161|G0000000|C0031843|C0332197|G0000000|C1882365|C0205161|C0015392|C0007608
Recurrent patients were eligible if the last dose of postoperative adjuvant chemotherapy had been received at least 180 days before the start of the study.,Recurrent patients eligible dose postoperative adjuvant chemotherapy received 180 days start study.,C2945760|C0030705|C1548635|C0178602|C0032790|C0001551|C0013216|C1514756|C1442061|C0439228|C0439659|C0557651
A total of 108 patients who were undergoing an excisional biopsy for non-palpable breast lesions requiring pathologic diagnosis were randomly assigned to the ROLL group (n = 56) and wire-guided localization group (n = 52).,A total 108 patients undergoing excisional biopsy non-palpable breast lesions requiring pathologic diagnosis randomly assigned ROLL (n = 56) wire-guided localization (n = 52).,G0000000|C0439175|C1442061|C0030705|G0000000|C0728940|C0005558|C1518422|C0006141|C0221198|G0000000|C1521733|C0011900|G0000000|C1516050|G0000000|G0000000|C0181089|C0475264|G0000000
"Children were ineligible if they: were clinically stable on a medication regimen for BP-I; diagnosed with schizophrenia or schizoaffective disorder, a pervasive developmental disorder, anorexia nervosa, bulimia nervosa, obsessive-compulsive disorder, substance dependence, symptoms of mania that were attributable to a general medical condition or secondary to use of medications or general medical condition including neurologic disease, diabetes mellitus, thyroid dysfunction, or renal dysfunction that might be adversely affected by lithium; had clinically significant abnormal laboratory assessments that could influence the efficacy or safety of lithium or would complicate interpretation of study results; had evidence of serious homicidal/suicidal ideation or active hallucinations and delusions such that in the treating physician's opinion it would not be appropriately safe for the subject to participate in this study; or had concomitant prescription of over-the-counter medication or nutritional supplements that would interact with lithium or affect the participant’s physical or mental status.","Children ineligible they: clinically stable medication regimen BP-I; diagnosed schizophrenia schizoaffective disorder, pervasive developmental disorder, anorexia nervosa, bulimia nervosa, obsessive-compulsive disorder, substance dependence, symptoms mania attributable medical condition secondary medications medical condition including neurologic disease, diabetes mellitus, thyroid dysfunction, renal dysfunction adversely lithium; clinically abnormal laboratory assessments influence efficacy safety lithium complicate interpretation study results; evidence homicidal/suicidal ideation active hallucinations delusions treating physician's opinion appropriately safe subject participate study; concomitant prescription over-the-counter medication nutritional supplements interact lithium affect participant’s physical mental status.",C0008059|C1512714|G0000000|G0000000|C0205360|C0013227|C0040808|C0037623|C0011900|C0036341|G0000000|C0012634|C0205391|C0458003|C0012634|C0003123|G0000000|C0006370|G0000000|G0000000|C0012634|C0439861|C0011546|C0683368|C0338831|C0596130|C0199168|C0012634|C0027627|C0013227|C0199168|C0012634|C0332257|C0205494|C0012634|C0011847|G0000000|C0040132|C0031847|C0022646|C0031847|G0000000|C0023870|G0000000|C0205161|C0022877|C1261322|C4054723|C1280519|C0036043|C0023870|C0231242|C0459471|C0557651|C1274040|C3887511|C0745031|C0392348|C0205177|C0018524|C0011253|C1522326|C0031831|C0871010|G0000000|G0000000|C0681850|G0000000|C0557651|C0521115|C0033080|C0013231|C0013227|C1521739|C0242295|G0000000|C0023870|C0001721|G0000000|C0031809|C0229992|C0449438
