"If the heart rate remains < 60/min, continue with CC + SI.","If heart rate remains < 60/min, continue CC + SI.",G0000000|C0018787|C0871208|G0000000|G0000000|C0549178|G0000000
"These included locally available and acceptable cereals and pulses, sugar, oil, milk and eggs.","These included locally acceptable cereals pulses, sugar, oil, milk eggs.",G0000000|C0332257|C1517927|C1879533|C0007757|C0034107|C0007004|C0028908|C0026131|C0013710
"APT = active physical treatment, CBT = cognitive behavioral treatment, CT = combination treatment, WL = waiting list.","APT = active physical treatment, CBT = cognitive behavioral treatment, CT = combination treatment, WL = waiting list.",C0003645|G0000000|C0205177|C0031809|C0039798|C0009244|G0000000|C1516691|C0004927|C0039798|C0007673|G0000000|C0205195|C0039798|G0000000|G0000000|C1610166|C0745732
"To characterize a minimal level of receptivity among the remaining respondents, we asked the following: “Think back to the cigarette advertisements you have recently seen on billboards or in magazines.","To characterize minimal level receptivity remaining respondents, following: “Think cigarette advertisements billboards magazines.",C0040363|G0000000|C0547040|C0441889|C0544683|C1527428|C0282122|C0231290|G0000000|C0677453|C0949214|C0681500|C0162443
The conventional open distal gastrectomy is performed by means of a midline laparotomy.,The conventional distal gastrectomy performed midline laparotomy.,G0000000|C0439858|C0205108|C0017118|C0884358|C0549183|C0023038
"Modified Ashworth Scale (MAS) and Action Research Arm Test (ARAT) were evaluated at the baseline, week 12 and week 24 for all the participants.","Modified Ashworth Scale (MAS) Action Research Arm Test (ARAT) evaluated baseline, week 12 week 24 participants.",C0392747|G0000000|C0175659|C1096155|C0441472|C0035168|C0446516|C0022885|C1152215|C0220825|C0168634|C0332174|C0450371|C0332174|C0450371|C0679646
Participants were randomized to receive either 0.9% saline in 5.0% dextrose or 0.45% saline in 5.0% dextrose.,Participants randomized receive 0.9% saline 5.0% dextrose 0.45% saline 5.0% dextrose.,C0679646|C0034656|C1514756|G0000000|C0036082|G0000000|C0017725|C0450371|C0036082|G0000000|C0017725
"The intervention is based on established control theory with elements of social cognitive theory [30,31].","The intervention based established control theory elements social cognitive theory [30,31].",G0000000|C0886296|C1527178|C0443211|C0243148|C0871935|C0013879|C0728831|C1516691|C0871935|C0450371
"After studying the leaflets, they were allowed to seek clarification.","After studying leaflets, allowed seek clarification.",G0000000|C0557651|C1708664|C0683607|G0000000|C2986669
Although TAT eliminates many barriers to treatment it also presents problems not encountered in clinic treatment sessions.,Although TAT eliminates barriers treatment encountered clinic treatment sessions.,G0000000|C3820394|G0000000|C1706912|C0039798|C0545082|C0002424|C0039798|C1883016
"Over a period of five weeks, three seasonal sun protection reminders were sent by a telephone text message, or email depending on the participant’s preference.","Over period weeks, seasonal sun protection reminders telephone text message, email depending participant’s preference.",C0205136|C0439531|C0439230|C0439601|C0038817|C1545588|C1709896|C0039457|C1527021|C0470166|C0013849|C0725813|G0000000|C0558295
"*Tegaserod n=259, placebo n=260.","*Tegaserod n=259, placebo n=260.",C0537147|C0369718|C0032042|C0369718
"Mostly, sport programs, such as 10-pin bowling, skiing, and golf, and programs such as ground walking, walking over obstacles, and climbing stairs were used for training.","Mostly, sport programs, 10-pin bowling, skiing, golf, programs ground walking, walking obstacles, climbing stairs training.",C0205393|C0038039|C0376691|C0450371|C0336949|C0037264|C0018041|C0376691|G0000000|C0080331|C0080331|G0000000|C0561942|C1710179|C0040607
Localization of seizure onset based on high frequency oscillations (HFOs).,Localization seizure onset based frequency oscillations (HFOs).,C0475264|C0036572|C0206132|C1527178|C0376249|C0695434|G0000000
Assistive technologies including virtual reality and video games were used.,Assistive technologies including virtual reality video games used.,G0000000|C0039421|C0332257|C1553497|C0871222|C0042655|C0150593|C1273517
"Probiotic combination consisted of strains of Lactobacillus acidophilus, Lactobacillus rhamnosus, Lactobacillus bulgaricus, Lactobacillus casei, Streptococcus thermophilus, Bifidobacterium infantis and Bifidobacterium breve (Fig.","Probiotic combination consisted strains Lactobacillus acidophilus, Lactobacillus rhamnosus, Lactobacillus bulgaricus, Lactobacillus casei, Streptococcus thermophilus, Bifidobacterium infantis Bifidobacterium breve (Fig.",C0525033|C0205195|C0332529|C0080194|C0022938|C0718215|C0022938|G0000000|C0022938|C2945712|C0022938|G0000000|C0038402|G0000000|C0005380|G0000000|C0005380|G0000000|C0349966
