"There were no significant difference regarding other secondary outcomes such as secondary ED visits, hospital re-admissions, repeated needs for steroids or dosage increase, needs for antibiotics, WBC, PCT levels and FEV1% between two groups (p > 0.05).","There difference secondary outcomes secondary ED visits, hospital re-admissions, repeated steroids dosage increase, antibiotics, WBC, PCT levels FEV1% (p > 0.05).",G0000000|C1705241|C0027627|C1274040|C0027627|C3538926|C0545082|C0019994|C1548168|C0205341|C0038317|C0178602|C0442805|C0003232|C0023516|C1535922|C0441889|G0000000|G0000000
The study end point was 12 months after baseline data collection.,The study 12 months baseline data collection.,G0000000|C0557651|C0450371|C0439231|C0168634|C1511726|C1516698
Snoring noise and sleep quality were unchanged but daily diary records indicated subjective improvements in nasal congestion and daytime alertness with fluticasone (p<0.02).,Snoring noise sleep quality unchanged daily diary records subjective improvements nasal congestion daytime alertness fluticasone (p<0.02).,C0037384|C0028263|C0037313|C0332306|C0442739|C0332173|C0376660|C0034869|C0439655|C2986411|C0028429|C0700148|C0332169|C1443086|C0082607|C0369773
"For each specimen, the reviewer marked a continuum to indicate degree of tissue abnormality.","For specimen, reviewer marked continuum degree tissue abnormality.",G0000000|C0370003|C1709941|C0522501|G0000000|C0441889|C0040300|C1704258
"Conversely, the effect of antioxidants was stronger in children with the GSTM1 null genotype.","Conversely, antioxidants stronger children GSTM1 null genotype.",G0000000|C0003402|C0442821|C0008059|G0000000|C0456148|C0017431
This finding is consistent with the theory that childcare activities may preferentially expose females to ocular chlamydial infection.,This finding consistent theory childcare activities preferentially expose females ocular chlamydial infection.,G0000000|C0037088|C0332290|C0871935|C0008067|C0441655|G0000000|G0000000|C0015780|C0015392|C0008148|C0009450
Serum ferritin also increased in all the three intervention groups.,Serum ferritin increased intervention groups.,C0229671|C0015879|C0205217|C0886296|C0441833
The primary end point was stroke or death within 30 days after enrollment or after a revascularization procedure for the qualifying lesion during the follow-up period or stroke in the territory of the qualifying artery beyond 30 days.,The primary stroke death 30 days enrollment revascularization procedure qualifying lesion follow-up period stroke territory qualifying artery 30 days.,G0000000|C0205225|C0038454|C0011065|C0450371|C0439228|C1516879|C0581603|C0184661|C1514624|C0221198|C0589120|C0439531|C0038454|C1301808|C1514624|C0003842|C0450371|C0439228
The total score was multiplied by 20/6.,The total score multiplied 20/6.,G0000000|C0439175|C0449820|C1719797|C0450371
The script concordance test was administered to FPs at each data collection point.,The script concordance test administered FPs data collection point.,G0000000|C0871893|C0680240|C0022885|C1521801|C1708010|C1511726|C1516698|C1552961
"Modified Ashworth Scale (MAS) and Action Research Arm Test (ARAT) were evaluated at the baseline, week 12 and week 24 for all the participants.","Modified Ashworth Scale (MAS) Action Research Arm Test (ARAT) evaluated baseline, week 12 week 24 participants.",C0392747|G0000000|C0175659|C1096155|C0441472|C0035168|C0446516|C0022885|C1152215|C0220825|C0168634|C0332174|C0450371|C0332174|C0450371|C0679646
"The 50% threshold was not selected as a benchmark for clinically meaningful pain reduction, but rather to enrich the population of responders so that loss of response after randomization (that is, <30% pain reduction from pre-milnacipran exposure and/or worsening of fibromyalgia requiring alternative treatment) could be measured.","The 50% threshold selected benchmark clinically meaningful pain reduction, enrich population responders loss response randomization (that is, <30% pain reduction pre-milnacipran exposure and/or worsening fibromyalgia requiring alternative treatment) measured.",G0000000|C0450371|C0449864|C1707391|C0525063|G0000000|C0876919|C0030193|C0301630|C0359583|C0032659|G0000000|C1517945|C0871261|C0034656|G0000000|G0000000|C0450371|C0030193|C0301630|C0332152|C0274281|G0000000|C0332271|C0016053|G0000000|C1523987|C0039798|C0444706
Physical activity interventions are reported to be effective in alleviating emotional distress and fatigue in those with breast cancer.,Physical activity interventions reported effective alleviating emotional distress fatigue breast cancer.,C0031809|C0205177|C0886296|C0684224|C1280519|G0000000|C0013987|C0231303|C0015672|C0006141|C0006826
Related adverse events in the UC group included arm tingling (n = 1) during the tread-mill test and knee tendonitis (n = 1).,Related adverse events UC included arm tingling (n = 1) tread-mill test knee tendonitis (n = 1).,C0439849|G0000000|C0441471|G0000000|C0332257|C0446516|C2242996|C0369718|G0000000|G0000000|C0184069|C0022885|C0022742|C0039503|C0369718|G0000000|G0000000
