Each zone had 15 traps divided between the villages with 1–3 sentinel houses per village proportional to village size.,Each zone 15 traps divided villages 1–3 sentinel houses village proportional village size.,G0000000|C1710706|C0450371|C0184047|C0332849|C0562518|G0000000|C0950580|C0442519|C0562518|C0205351|C0562518|C0456389
incapable of carrying out light housework or office work); ii) active liver or kidney disease; iii) prior diagnosis of cancer (excluding non-melanoma skin cancer); iv) diagnosed HIV infection; v) on immunosuppressive therapy; vi) diminished mental capacity; vii) taking ≥50 µg/day of Se supplements in the previous six months (by patient report).,incapable carrying light housework office work); ii) active liver kidney disease; iii) prior diagnosis cancer (excluding non-melanoma skin cancer); iv) diagnosed HIV infection; v) immunosuppressive therapy; vi) diminished mental capacity; vii) ≥50 µg/day Se supplements previous months (by patient report).,C1550518|C0206243|C0023693|C0020053|C0442603|C0043227|G0000000|C0205177|C0023884|C0022646|C0012634|C0439070|C0332152|C0011900|C0006826|C0332196|C1518422|C0444099|C0006826|C0022326|C0011900|C0019682|C0009450|G0000000|C0021081|C0039798|C0205999|C0205216|C0229992|C1516240|C0445385|G0000000|G0000000|C0036919|C0242295|C0205156|C0439231|G0000000|C0030705|C0684224
"The median age of the patients at baseline was 79 years, and approximately half (54%) were female; 67% were non-Hispanic white, 21% were African-American, and 11% were Hispanic/Latino.","The median age patients baseline 79 years, half (54%) female; 67% non-Hispanic white, 21% African-American, 11% Hispanic/Latino.",G0000000|C0549183|C0001779|C0030705|C0168634|C0450371|C0439234|C2825407|C0450371|C0015780|C0450371|C1518424|C0007457|C0450371|C0085756|C0450371|C0086409
"Participants (n = 34) in this qualitative analysis were drawn from a larger, randomized controlled, multiphased, longitudinal, mixed methods trial conducted at the National Institutes of Health (NIH), Clinical Center (CC) to evaluate the efficacy of the Palliative Care Service intervention compared to usual care for patients with advanced malignancies who were enrolled in cancer clinical trials that included undergoing surgical procedures in National Cancer Institute (NCI) Surgery Branch clinical trials.","Participants (n = 34) qualitative analysis drawn larger, randomized controlled, multiphased, longitudinal, mixed methods trial conducted National Institutes Health (NIH), Clinical Center (CC) evaluate efficacy Palliative Care Service intervention compared usual care patients advanced malignancies enrolled cancer clinical trials included undergoing surgical procedures National Cancer Institute (NCI) Surgery Branch clinical trials.",C0679646|G0000000|C0205556|C0002778|C0013113|C0549177|C0034656|C2587213|G0000000|C0205127|C0205430|C0025663|C0008976|C0004927|C3245503|C0021622|C0018684|C0027468|C0205210|C0205099|C3538933|C0220825|C1280519|C0587605|C1947933|C0557854|C0886296|C1707455|C3538928|C1947933|C0030705|C0205179|C0006826|G0000000|C0006826|C0205210|C0008976|C0332257|G0000000|C0543467|C0025664|C3245503|C0006826|C0021622|C1513882|C0038894|C1253959|C0205210|C0008976
The villages randomized to the intervention group received the TSC program and villages in the control group did not receive the TSC until after the study.,The villages randomized intervention received TSC program villages control receive TSC study.,G0000000|C0562518|C0034656|C0886296|C1514756|G0000000|C1709697|C0562518|C0243148|C1514756|G0000000|C0557651
Archival tumor samples and newly obtained core or excisional biopsy samples from nonirradiated sites were permitted.,Archival tumor samples newly core excisional biopsy samples nonirradiated sites permitted.,C0003738|C0027651|C0370003|C0750546|C0444669|C0728940|C0005558|C0370003|G0000000|C0205145|C0329040
Patients between 18 and 85 years and on stable haemodialysis (>3 months on haemodialysis with adequate dialysis efficacy) were included.,Patients 18 85 stable haemodialysis (>3 months haemodialysis adequate dialysis efficacy) included.,C0030705|C0450371|C0450371|C0205360|C0019004|G0000000|C0439231|C0019004|C0205410|C0011945|C1280519|C0332257
pencil case and teddy bear) were provided at each of these visits to minimize attrition.,pencil teddy bear) provided visits minimize attrition.,C0441059|G0000000|C0004897|C1999230|C0545082|G0000000|C0004277
We identified all women aged 75 to 85 years who were residents of greater Vancouver and in whom osteoporosis or osteopenia had been diagnosed at the BC Women’s Hospital and Health Centre (defined as a T-score at the total hip or spine at least 1.0 standard deviations below the young normal sex-matched areal bone mineral density of the Lunar reference database) 11 as potential participants.,We identified women aged 75 85 residents Vancouver osteoporosis osteopenia diagnosed BC Women’s Hospital Health Centre (defined T-score total hip spine 1.0 standard deviations normal sex-matched areal bone mineral density Lunar reference database) 11 potential participants.,G0000000|C0205396|C0043210|C0001779|C0450371|C0450371|C1320928|G0000000|C0029456|C0029453|C0011900|C0006041|G0000000|C0019994|C0018684|C0205099|C1704788|C3854607|C0439175|C0019552|C0037949|G0000000|C1442989|C0012727|C0205307|C0009253|C0017446|C0262950|C0006660|C0178587|C0037125|C1514811|C0242356|C0450371|C3245505|C0679646
"This cohort consists of a carefully characterized population of women with type 1 diabetes, in whom comprehensive data about pregnancy progress and pregnancy outcomes has been collected.","This cohort consists carefully characterized population women type 1 diabetes, comprehensive data pregnancy progress pregnancy outcomes collected.",G0000000|C0599755|C0332529|G0000000|C1880022|C0032659|C0043210|C0332307|G0000000|C0011847|C1880156|C1511726|C0032961|C1272688|C0032961|C1274040|C1516695
